GraphID	GraphKind	VertexCount	VertexID	ProblemNode	ChimearNode	In_Degree	Out_Degree	In_Flow	In_Flow_Std	Out_Flow	Out_Flow_Std	Centrality
3	orig	60	58	0	0	1	2	1981	0.0	1849	471.5	0.0508474576271
3	orig	60	59	0	0	1	2	2374	0.0	2125	924.5	0.0508474576271
3	comp	6	0	0	0	0	2	0	NA	2465	523.5	0.4
3	comp	6	1	0	0	5	0	2465	172.37517222616486	0	NA	1.0
3	comp	6	36	1	0	2	2	682	168.0	682	90.0	0.8
3	comp	6	39	1	0	2	5	2465	359.5	2465	194.32652932628628	1.4
3	comp	6	48	1	0	2	2	2465	565.5	2465	359.5	0.8
3	comp	6	56	1	0	2	2	2465	523.5	2465	565.5	0.8
3	res	6	0	0	0	0	2	0	NA	2465	523.5	0.4
3	res	6	1	0	0	5	0	2465	172.37517222616486	0	NA	1.0
3	res	6	36	1	3	2	2	682	168.0	682	90.0	0.8
3	res	6	39	1	5	2	5	2465	359.5	2465	194.32652932628628	1.4
3	res	6	48	1	4	2	2	2465	565.5	2465	359.5	0.8
3	res	6	56	1	4	2	2	2465	523.5	2465	565.5	0.8
4	orig	14	0	0	0	0	2	0	NA	0	0.0	0.153846153846
4	orig	14	1	0	0	1	0	0	0.0	0	NA	0.0769230769231
4	orig	14	2	0	0	1	1	0	0.0	37	0.0	0.153846153846
4	orig	14	3	0	0	1	1	0	0.0	9	0.0	0.153846153846
4	orig	14	4	0	0	2	1	38	10.0	137	0.0	0.230769230769
4	orig	14	5	0	0	1	1	78	0.0	87	0.0	0.153846153846
4	orig	14	6	0	0	2	1	111	18.5	135	0.0	0.230769230769
4	orig	14	7	0	0	1	1	139	0.0	148	0.0	0.153846153846
4	orig	14	8	0	0	1	1	148	0.0	0	0.0	0.153846153846
4	orig	14	9	0	0	1	1	135	0.0	139	0.0	0.153846153846
4	orig	14	10	0	0	1	1	87	0.0	74	0.0	0.153846153846
4	orig	14	11	0	0	1	2	137	0.0	115	20.5	0.230769230769
4	orig	14	12	0	0	1	1	9	0.0	9	0.0	0.153846153846
4	orig	14	13	0	0	1	1	37	0.0	29	0.0	0.153846153846
4	comp	3	0	0	0	0	2	0	NA	148	39.0	1.0
4	comp	3	1	0	0	2	0	148	27.0	0	NA	1.0
4	comp	3	4	1	0	2	2	148	39.0	148	27.0	2.0
4	res	2	0	0	0	0	3	0	NA	148	37.72119946248911	3.0
4	res	2	1	0	0	3	0	148	37.72119946248911	0	NA	3.0
5	orig	44	0	0	0	0	2	0	NA	0	0.0	0.046511627907
5	orig	44	1	0	0	1	0	0	0.0	0	NA	0.0232558139535
5	orig	44	2	0	0	1	1	0	0.0	14	0.0	0.046511627907
5	orig	44	3	0	0	1	1	15	0.0	28	0.0	0.046511627907
5	orig	44	4	0	0	1	1	18	0.0	25	0.0	0.046511627907
5	orig	44	5	0	0	1	1	25	0.0	26	0.0	0.046511627907
5	orig	44	6	0	0	1	1	16	0.0	24	0.0	0.046511627907
5	orig	44	7	0	0	1	1	20	0.0	27	0.0	0.046511627907
5	orig	44	8	0	0	1	1	26	0.0	28	0.0	0.046511627907
5	orig	44	9	0	0	1	1	23	0.0	23	0.0	0.046511627907
5	orig	44	10	0	0	1	1	0	0.0	28	0.0	0.046511627907
5	orig	44	11	0	0	2	1	40	3.0	148	0.0	0.0697674418605
5	orig	44	12	0	0	1	1	152	0.0	191	0.0	0.046511627907
5	orig	44	13	0	0	1	1	162	0.0	180	0.0	0.046511627907
5	orig	44	14	0	0	1	1	20	0.0	20	0.0	0.046511627907
5	orig	44	15	0	0	2	1	146	57.0	212	0.0	0.0697674418605
5	orig	44	16	0	0	1	1	190	0.0	206	0.0	0.046511627907
5	orig	44	17	0	0	1	1	185	0.0	220	0.0	0.046511627907
5	orig	44	18	0	0	1	1	190	0.0	212	0.0	0.046511627907
5	orig	44	19	0	0	1	1	186	0.0	205	0.0	0.046511627907
5	orig	44	20	0	0	1	1	185	0.0	242	0.0	0.046511627907
5	orig	44	21	0	0	1	1	231	0.0	253	0.0	0.046511627907
5	orig	44	22	0	0	1	1	225	0.0	221	0.0	0.046511627907
5	orig	44	23	0	0	1	1	221	0.0	0	0.0	0.046511627907
5	orig	44	24	0	0	1	1	253	0.0	225	0.0	0.046511627907
5	orig	44	25	0	0	1	1	242	0.0	231	0.0	0.046511627907
5	orig	44	26	0	0	1	1	205	0.0	185	0.0	0.046511627907
5	orig	44	27	0	0	1	1	212	0.0	186	0.0	0.046511627907
5	orig	44	28	0	0	1	1	220	0.0	190	0.0	0.046511627907
5	orig	44	29	0	0	1	1	206	0.0	185	0.0	0.046511627907
5	orig	44	30	0	0	1	1	212	0.0	190	0.0	0.046511627907
5	orig	44	31	0	0	1	1	20	0.0	16	0.0	0.046511627907
5	orig	44	32	0	0	1	2	180	0.0	150	55.0	0.0697674418605
5	orig	44	33	0	0	1	1	191	0.0	162	0.0	0.046511627907
5	orig	44	34	0	0	1	1	148	0.0	152	0.0	0.046511627907
5	orig	44	35	0	0	1	1	28	0.0	23	0.0	0.046511627907
5	orig	44	36	0	0	1	1	23	0.0	17	0.0	0.046511627907
5	orig	44	37	0	0	1	1	28	0.0	23	0.0	0.046511627907
5	orig	44	38	0	0	1	1	27	0.0	26	0.0	0.046511627907
5	orig	44	39	0	0	1	1	24	0.0	20	0.0	0.046511627907
5	orig	44	40	0	0	1	1	26	0.0	16	0.0	0.046511627907
5	orig	44	41	0	0	1	1	25	0.0	25	0.0	0.046511627907
5	orig	44	42	0	0	1	1	28	0.0	18	0.0	0.046511627907
5	orig	44	43	0	0	1	1	14	0.0	15	0.0	0.046511627907
5	comp	3	0	0	0	0	2	0	NA	248	27.0	1.0
5	comp	3	1	0	0	2	0	248	97.0	0	NA	1.0
5	comp	3	11	1	0	2	2	248	27.0	248	97.0	2.0
5	res	3	0	0	0	0	2	0	NA	248	27.0	1.0
5	res	3	1	0	0	2	0	248	97.0	0	NA	1.0
5	res	3	11	1	1	2	2	248	27.0	248	97.0	2.0
6	orig	14	0	0	0	0	2	0	NA	0	0.0	0.153846153846
6	orig	14	1	0	0	1	0	0	0.0	0	NA	0.0769230769231
6	orig	14	2	0	0	1	1	0	0.0	168	0.0	0.153846153846
6	orig	14	3	0	0	1	1	0	0.0	48	0.0	0.153846153846
6	orig	14	4	0	0	2	1	186	50.0	207	0.0	0.230769230769
6	orig	14	5	0	0	1	1	185	0.0	198	0.0	0.153846153846
6	orig	14	6	0	0	1	1	34	0.0	36	0.0	0.153846153846
6	orig	14	7	0	0	2	1	88	22.0	88	0.0	0.230769230769
6	orig	14	8	0	0	1	1	88	0.0	0	0.0	0.153846153846
6	orig	14	9	0	0	1	1	36	0.0	22	0.0	0.153846153846
6	orig	14	10	0	0	1	2	198	0.0	100	16.0	0.230769230769
6	orig	14	11	0	0	1	1	207	0.0	185	0.0	0.153846153846
6	orig	14	12	0	0	1	1	48	0.0	43	0.0	0.153846153846
6	orig	14	13	0	0	1	1	168	0.0	143	0.0	0.153846153846
6	comp	3	0	0	0	0	2	0	NA	203	55.5	1.0
6	comp	3	1	0	0	2	0	203	34.5	0	NA	1.0
6	comp	3	4	1	0	2	2	203	55.5	203	34.5	2.0
6	res	2	0	0	0	0	3	0	NA	203	49.38510796676351	3.0
6	res	2	1	0	0	3	0	203	49.38510796676351	0	NA	3.0
7	orig	42	0	0	0	0	2	0	NA	0	0.0	0.0487804878049
7	orig	42	1	0	0	2	0	0	0.0	0	NA	0.0487804878049
7	orig	42	2	0	0	1	1	0	0.0	319	0.0	0.0487804878049
7	orig	42	3	0	0	1	1	331	0.0	379	0.0	0.0487804878049
7	orig	42	4	0	0	1	1	110	0.0	138	0.0	0.0487804878049
7	orig	42	5	0	0	2	1	364	48.0	403	0.0	0.0731707317073
7	orig	42	6	0	0	1	1	0	0.0	20	0.0	0.0487804878049
7	orig	42	7	0	0	2	1	318	144.0	400	0.0	0.0731707317073
7	orig	42	8	0	0	1	1	342	0.0	361	0.0	0.0487804878049
7	orig	42	9	0	0	1	1	364	0.0	379	0.0	0.0487804878049
7	orig	42	10	0	0	1	1	373	0.0	388	0.0	0.0487804878049
7	orig	42	11	0	0	1	1	336	0.0	390	0.0	0.0487804878049
7	orig	42	12	0	0	1	1	12	0.0	9	0.0	0.0487804878049
7	orig	42	13	0	0	1	1	142	0.0	141	0.0	0.0487804878049
7	orig	42	14	0	0	2	1	328	36.0	397	0.0	0.0731707317073
7	orig	42	15	0	0	1	1	358	0.0	395	0.0	0.0487804878049
7	orig	42	16	0	0	1	1	344	0.0	399	0.0	0.0487804878049
7	orig	42	17	0	0	1	1	60	0.0	67	0.0	0.0487804878049
7	orig	42	18	0	0	2	1	293	81.5	345	0.0	0.0731707317073
7	orig	42	19	0	0	1	1	4	0.0	18	0.0	0.0487804878049
7	orig	42	20	0	0	2	1	275	121.5	316	0.0	0.0731707317073
7	orig	42	21	0	0	1	1	193	0.0	175	0.0	0.0487804878049
7	orig	42	22	0	0	1	1	175	0.0	0	0.0	0.0487804878049
7	orig	42	23	0	0	1	1	316	0.0	193	0.0	0.0487804878049
7	orig	42	24	0	0	1	1	18	0.0	16	0.0	0.0487804878049
7	orig	42	25	0	0	1	2	345	0.0	263	127.5	0.0731707317073
7	orig	42	26	0	0	1	1	67	0.0	65	0.0	0.0487804878049
7	orig	42	27	0	0	1	2	399	0.0	288	84.0	0.0731707317073
7	orig	42	28	0	0	1	1	395	0.0	344	0.0	0.0487804878049
7	orig	42	29	0	0	1	1	397	0.0	358	0.0	0.0487804878049
7	orig	42	30	0	0	1	1	141	0.0	128	0.0	0.0487804878049
7	orig	42	31	0	0	1	1	9	0.0	0	0.0	0.0487804878049
7	orig	42	32	0	0	1	3	390	0.0	354	78.60449520648719	0.0975609756098
7	orig	42	33	0	0	1	1	388	0.0	336	0.0	0.0487804878049
7	orig	42	34	0	0	1	1	379	0.0	373	0.0	0.0487804878049
7	orig	42	35	0	0	1	1	361	0.0	364	0.0	0.0487804878049
7	orig	42	36	0	0	1	1	400	0.0	342	0.0	0.0487804878049
7	orig	42	37	0	0	1	1	20	0.0	15	0.0	0.0487804878049
7	orig	42	38	0	0	1	1	403	0.0	303	0.0	0.0487804878049
7	orig	42	39	0	0	1	1	138	0.0	134	0.0	0.0487804878049
7	orig	42	40	0	0	1	2	379	0.0	340	60.0	0.0731707317073
7	orig	42	41	0	0	1	1	319	0.0	331	0.0	0.0487804878049
7	comp	3	0	0	0	0	2	0	NA	392	55.0	1.0
7	comp	3	1	0	0	2	0	392	46.0	0	NA	1.0
7	comp	3	32	1	0	2	2	392	55.0	392	46.0	2.0
7	res	3	0	0	0	0	2	0	NA	392	55.0	1.0
7	res	3	1	0	0	2	0	392	46.0	0	NA	1.0
7	res	3	32	1	0	2	2	392	55.0	392	46.0	2.0
8	orig	70	0	0	0	0	2	0	NA	0	0.0	0.0289855072464
8	orig	70	1	0	0	4	0	0	0.0	0	NA	0.0579710144928
8	orig	70	2	0	0	1	1	0	0.0	15	0.0	0.0289855072464
8	orig	70	3	0	0	1	1	6	0.0	32	0.0	0.0289855072464
8	orig	70	4	0	0	1	1	28	0.0	128	0.0	0.0289855072464
8	orig	70	5	0	0	1	1	111	0.0	197	0.0	0.0289855072464
8	orig	70	6	0	0	1	1	183	0.0	233	0.0	0.0289855072464
8	orig	70	7	0	0	1	1	211	0.0	233	0.0	0.0289855072464
8	orig	70	8	0	0	1	1	188	0.0	209	0.0	0.0289855072464
8	orig	70	9	0	0	1	1	185	0.0	195	0.0	0.0289855072464
8	orig	70	10	0	0	1	1	179	0.0	207	0.0	0.0289855072464
8	orig	70	11	0	0	1	1	106	0.0	139	0.0	0.0289855072464
8	orig	70	12	0	0	2	1	211	26.5	301	0.0	0.0434782608696
8	orig	70	13	0	0	1	1	289	0.0	325	0.0	0.0289855072464
8	orig	70	14	0	0	1	1	197	0.0	245	0.0	0.0289855072464
8	orig	70	15	0	0	2	1	315	67.5	380	0.0	0.0434782608696
8	orig	70	16	0	0	1	1	344	0.0	348	0.0	0.0289855072464
8	orig	70	17	0	0	1	1	301	0.0	324	0.0	0.0289855072464
8	orig	70	18	0	0	1	1	56	0.0	56	0.0	0.0289855072464
8	orig	70	19	0	0	1	1	202	0.0	252	0.0	0.0289855072464
8	orig	70	20	0	0	1	1	237	0.0	256	0.0	0.0289855072464
8	orig	70	21	0	0	1	1	25	0.0	24	0.0	0.0289855072464
8	orig	70	22	0	0	1	1	107	0.0	105	0.0	0.0289855072464
8	orig	70	23	0	0	2	1	100	48.0	135	0.0	0.0434782608696
8	orig	70	24	0	0	2	1	192	27.0	223	0.0	0.0434782608696
8	orig	70	25	0	0	2	1	205	99.5	239	0.0	0.0434782608696
8	orig	70	26	0	0	1	1	207	0.0	238	0.0	0.0289855072464
8	orig	70	27	0	0	2	1	215	98.5	227	0.0	0.0434782608696
8	orig	70	28	0	0	1	1	0	0.0	38	0.0	0.0289855072464
8	orig	70	29	0	0	2	1	230	80.0	269	0.0	0.0434782608696
8	orig	70	30	0	0	1	1	258	0.0	285	0.0	0.0289855072464
8	orig	70	31	0	0	1	1	30	0.0	42	0.0	0.0289855072464
8	orig	70	32	0	0	1	1	197	0.0	253	0.0	0.0289855072464
8	orig	70	33	0	0	1	1	224	0.0	265	0.0	0.0289855072464
8	orig	70	34	0	0	1	1	273	0.0	254	0.0	0.0289855072464
8	orig	70	35	0	0	1	1	177	0.0	160	0.0	0.0289855072464
8	orig	70	36	0	0	1	1	160	0.0	0	0.0	0.0289855072464
8	orig	70	37	0	0	1	1	254	0.0	177	0.0	0.0289855072464
8	orig	70	38	0	0	1	1	265	0.0	273	0.0	0.0289855072464
8	orig	70	39	0	0	1	1	253	0.0	224	0.0	0.0289855072464
8	orig	70	40	0	0	1	1	42	0.0	0	0.0	0.0289855072464
8	orig	70	41	0	0	1	2	285	0.0	227	83.5	0.0434782608696
8	orig	70	42	0	0	1	1	269	0.0	258	0.0	0.0289855072464
8	orig	70	43	0	0	1	1	38	0.0	35	0.0	0.0289855072464
8	orig	70	44	0	0	1	1	227	0.0	195	0.0	0.0289855072464
8	orig	70	45	0	0	1	1	238	0.0	206	0.0	0.0289855072464
8	orig	70	46	0	0	1	1	239	0.0	207	0.0	0.0289855072464
8	orig	70	47	0	0	1	1	223	0.0	202	0.0	0.0289855072464
8	orig	70	48	0	0	1	2	135	0.0	126	60.0	0.0434782608696
8	orig	70	49	0	0	1	1	105	0.0	98	0.0	0.0289855072464
8	orig	70	50	0	0	1	1	24	0.0	0	0.0	0.0289855072464
8	orig	70	51	0	0	1	3	256	0.0	201	33.50621832834417	0.0579710144928
8	orig	70	52	0	0	1	2	252	0.0	239	117.5	0.0434782608696
8	orig	70	53	0	0	1	1	56	0.0	0	0.0	0.0289855072464
8	orig	70	54	0	0	1	2	324	0.0	258	73.0	0.0434782608696
8	orig	70	55	0	0	1	1	348	0.0	301	0.0	0.0289855072464
8	orig	70	56	0	0	1	1	380	0.0	344	0.0	0.0289855072464
8	orig	70	57	0	0	1	1	245	0.0	225	0.0	0.0289855072464
8	orig	70	58	0	0	1	2	325	0.0	287	53.5	0.0434782608696
8	orig	70	59	0	0	1	1	301	0.0	289	0.0	0.0289855072464
8	orig	70	60	0	0	1	1	139	0.0	132	0.0	0.0289855072464
8	orig	70	61	0	0	1	2	207	0.0	185	13.5	0.0434782608696
8	orig	70	62	0	0	1	1	195	0.0	179	0.0	0.0289855072464
8	orig	70	63	0	0	1	1	209	0.0	185	0.0	0.0289855072464
8	orig	70	64	0	0	1	1	233	0.0	188	0.0	0.0289855072464
8	orig	70	65	0	0	1	1	233	0.0	211	0.0	0.0289855072464
8	orig	70	66	0	0	1	1	197	0.0	183	0.0	0.0289855072464
8	orig	70	67	0	0	1	1	128	0.0	111	0.0	0.0289855072464
8	orig	70	68	0	0	1	1	32	0.0	28	0.0	0.0289855072464
8	orig	70	69	0	0	1	2	15	0.0	15	1.5	0.0434782608696
8	comp	5	0	0	0	0	3	0	NA	339	80.67630796377996	0.75
8	comp	5	1	0	0	2	0	339	114.5	0	NA	0.5
8	comp	5	41	1	0	3	2	339	66.9676538835479	339	114.5	1.25
8	comp	5	51	1	0	2	2	320	83.0	320	10.0	1.0
8	comp	5	58	1	0	2	2	320	56.0	320	83.0	1.0
8	res	3	0	0	0	0	4	0	NA	339	43.86556166288082	2.0
8	res	3	1	0	0	4	0	339	60.87435831283973	0	NA	2.0
8	res	3	51	1	0	3	3	320	25.381533094401966	320	54.950482759986336	3.0
9	orig	54	0	0	0	0	1	0	NA	0	0.0	0.0188679245283
9	orig	54	1	0	0	4	0	0	0.0	0	NA	0.0754716981132
9	orig	54	2	0	0	1	1	0	0.0	269	0.0	0.0377358490566
9	orig	54	3	0	0	1	1	270	0.0	325	0.0	0.0377358490566
9	orig	54	4	0	0	1	1	8	0.0	8	0.0	0.0377358490566
9	orig	54	5	0	0	1	1	6	0.0	14	0.0	0.0377358490566
9	orig	54	6	0	0	1	1	274	0.0	319	0.0	0.0377358490566
9	orig	54	7	0	0	1	1	38	0.0	41	0.0	0.0377358490566
